time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.891000,0.1554,0.0253,-0.2901,0.330
2.896000,0.1192,-0.0010,-0.1360,0.181
2.907000,0.0953,-0.0806,0.0732,0.145
2.907000,0.1623,-0.2209,0.3305,0.429
2.911000,0.2984,-0.3628,0.6218,0.779
2.918000,0.4940,-0.5375,0.4788,0.873
2.921000,0.8005,-0.7036,-0.3539,1.123
2.928000,0.9918,-0.6943,-0.8583,1.484
2.934000,0.9093,-0.6495,-0.8609,1.411
2.939000,0.5789,-0.5625,-0.6730,1.051
2.942000,0.1511,-0.3621,-0.3115,0.501
2.946000,-0.2452,-0.1428,-0.0006,0.284
2.951000,-0.6110,0.0683,0.3460,0.706
2.956000,-0.9741,0.2251,0.8071,1.285
2.961000,-1.3286,0.2527,1.3638,1.921
2.967000,-1.4867,0.2893,1.9013,2.431
2.970000,-1.5091,0.3364,2.3865,2.844
2.975000,-1.3623,0.4319,2.5282,2.904
2.981000,-0.9116,0.5137,2.0186,2.274
2.987000,0.3736,0.3690,0.7647,0.928
2.990000,0.7966,0.1688,-0.3495,0.886
2.995000,0.5813,0.1190,-0.8856,1.066
3.001000,0.1551,0.1604,-0.9382,0.964
3.005000,-0.1290,0.3113,-0.4934,0.598
3.010000,-0.1691,0.4839,0.2339,0.563
