time,gFx,gFy,gFz,TgF
2.931000,-0.0493,0.4856,0.8795,1.006
2.933000,-0.0471,0.4876,0.8707,0.999
2.936000,-0.0430,0.4886,0.8639,0.993
2.938000,-0.0391,0.4898,0.8590,0.990
2.941000,-0.0354,0.4883,0.8560,0.986
2.943000,-0.0298,0.4878,0.8531,0.983
2.946000,-0.0251,0.4893,0.8502,0.981
2.948000,-0.0200,0.4886,0.8470,0.978
2.958000,-0.0164,0.4847,0.8465,0.976
2.959000,-0.0139,0.4844,0.8443,0.974
2.961000,-0.0144,0.4830,0.8433,0.972
2.962000,-0.0137,0.4810,0.8433,0.971
2.962000,-0.0139,0.4798,0.8451,0.972
2.964000,-0.0144,0.4795,0.8465,0.973
2.974000,-0.0142,0.4788,0.8534,0.979
2.975000,-0.0127,0.4776,0.8548,0.979
2.975000,-0.0098,0.4803,0.8558,0.981
2.975000,-0.0071,0.4759,0.8553,0.979
2.975000,-0.0071,0.4725,0.8604,0.982
2.985000,-0.0107,0.4693,0.8636,0.983
2.985000,-0.0176,0.4661,0.8683,0.986
2.986000,-0.0264,0.4683,0.8744,0.992
2.986000,-0.0332,0.4681,0.8775,0.995
2.989000,-0.0408,0.4681,0.8809,0.998
2.991000,-0.0435,0.4659,0.8922,1.007
2.994000,-0.0476,0.4673,0.9037,1.018
2.996000,-0.0544,0.4668,0.9105,1.025
2.997000,-0.0571,0.4671,0.9181,1.032
3.000000,-0.0618,0.4700,0.9242,1.039
3.006000,-0.0652,0.4742,0.9288,1.045
3.006000,-0.0659,0.4751,0.9278,1.044
3.008000,-0.0679,0.4744,0.9288,1.045
3.010000,-0.0752,0.4729,0.9273,1.044
3.012000,-0.0774,0.4710,0.9308,1.046
3.015000,-0.0806,0.4712,0.9269,1.043
3.018000,-0.0835,0.4742,0.9298,1.047
3.022000,-0.0850,0.4766,0.9288,1.047
3.023000,-0.0842,0.4791,0.9281,1.048
3.025000,-0.0869,0.4805,0.9266,1.047
3.028000,-0.0850,0.4852,0.9217,1.045
3.030000,-0.0867,0.4886,0.9190,1.044
3.033000,-0.0857,0.4859,0.9164,1.041
3.035000,-0.0899,0.4874,0.9122,1.038
3.038000,-0.0894,0.4900,0.9083,1.036
3.041000,-0.0928,0.4918,0.9022,1.032
3.043000,-0.0916,0.4937,0.8993,1.030
3.045000,-0.0942,0.4937,0.8958,1.027
3.047000,-0.0950,0.4935,0.8956,1.027
3.052000,-0.0938,0.4939,0.8946,1.026
3.053000,-0.0916,0.4954,0.8946,1.027
3.058000,-0.0901,0.4932,0.8956,1.026
3.058000,-0.0855,0.4932,0.8946,1.025
3.059000,-0.0859,0.4905,0.8951,1.024
3.062000,-0.0862,0.4893,0.8968,1.025
3.064000,-0.0852,0.4905,0.8956,1.025
3.072000,-0.0862,0.4881,0.8961,1.024
3.072000,-0.0830,0.4871,0.8963,1.024
3.073000,-0.0837,0.4861,0.8988,1.025
3.074000,-0.0825,0.4834,0.8998,1.025
3.077000,-0.0811,0.4822,0.9010,1.025
3.080000,-0.0796,0.4849,0.9022,1.027
3.082000,-0.0803,0.4844,0.9019,1.027
3.108000,-0.0813,0.4839,0.9051,1.030
3.109000,-0.0798,0.4834,0.9068,1.031
3.109000,-0.0776,0.4817,0.9068,1.030
3.109000,-0.0762,0.4815,0.9093,1.032
3.110000,-0.0754,0.4805,0.9112,1.033
3.110000,-0.0750,0.4815,0.9124,1.034
3.110000,-0.0774,0.4817,0.9149,1.037
3.110000,-0.0786,0.4803,0.9171,1.038
3.111000,-0.0791,0.4815,0.9203,1.042
3.112000,-0.0823,0.4834,0.9164,1.039
3.112000,-0.0837,0.4842,0.9151,1.039
3.113000,-0.0864,0.4844,0.9139,1.038
3.114000,-0.0869,0.4859,0.9112,1.036
3.118000,-0.0889,0.4869,0.9073,1.034
3.119000,-0.0874,0.4891,0.9054,1.033
3.122000,-0.0896,0.4908,0.9015,1.030
3.123000,-0.0891,0.4910,0.8980,1.027
3.126000,-0.0884,0.4913,0.8954,1.025
3.130000,-0.0889,0.4910,0.8883,1.019
3.130000,-0.0889,0.4932,0.8878,1.019
3.134000,-0.0879,0.4908,0.8829,1.014
3.136000,-0.0874,0.4922,0.8778,1.010
3.139000,-0.0859,0.4925,0.8736,1.007
3.142000,-0.0891,0.4939,0.8744,1.008
3.143000,-0.0869,0.4918,0.8753,1.008
3.146000,-0.0862,0.4893,0.8783,1.009
3.148000,-0.0862,0.4861,0.8827,1.011
3.151000,-0.0877,0.4856,0.8839,1.012
3.158000,-0.0923,0.4856,0.8875,1.016
3.158000,-0.0950,0.4849,0.8907,1.019
3.158000,-0.0967,0.4861,0.8897,1.018
3.160000,-0.0969,0.4886,0.8939,1.023
3.163000,-0.0955,0.4886,0.8976,1.026
3.165000,-0.0957,0.4888,0.8998,1.028
3.179000,-0.0928,0.4859,0.8976,1.025
3.180000,-0.0906,0.4830,0.9000,1.025
3.180000,-0.0889,0.4825,0.9000,1.025
3.181000,-0.0852,0.4827,0.9010,1.026
3.181000,-0.0820,0.4812,0.9032,1.027
3.181000,-0.0803,0.4805,0.9034,1.026
3.187000,-0.0759,0.4783,0.9039,1.025
3.188000,-0.0720,0.4739,0.9044,1.024
3.188000,-0.0698,0.4742,0.9051,1.024
3.191000,-0.0669,0.4734,0.9093,1.027
3.194000,-0.0625,0.4683,0.9115,1.027
3.195000,-0.0598,0.4688,0.9137,1.029
3.197000,-0.0586,0.4690,0.9137,1.029
3.200000,-0.0576,0.4676,0.9146,1.029
3.203000,-0.0588,0.4693,0.9144,1.029
3.205000,-0.0603,0.4686,0.9161,1.031
3.209000,-0.0645,0.4671,0.9146,1.029
3.210000,-0.0696,0.4688,0.9144,1.030
3.212000,-0.0735,0.4708,0.9154,1.032
3.214000,-0.0757,0.4722,0.9156,1.033
3.217000,-0.0789,0.4764,0.9132,1.033
3.220000,-0.0798,0.4773,0.9151,1.035
3.222000,-0.0806,0.4783,0.9110,1.032
3.224000,-0.0842,0.4803,0.9090,1.032
3.227000,-0.0842,0.4837,0.9056,1.030
3.230000,-0.0879,0.4830,0.9041,1.029
3.233000,-0.0864,0.4832,0.9032,1.028
3.238000,-0.0864,0.4825,0.9015,1.026
3.238000,-0.0862,0.4827,0.9007,1.026
3.241000,-0.0862,0.4808,0.8990,1.023
3.244000,-0.0845,0.4786,0.9005,1.023
3.244000,-0.0864,0.4795,0.8995,1.023
3.248000,-0.0830,0.4773,0.8912,1.014
3.253000,-0.0676,0.4568,0.5706,0.734
3.254000,-0.1196,0.4639,0.0781,0.485
3.257000,-0.1970,0.5337,-0.0259,0.570
3.262000,-0.1531,0.5870,0.2613,0.660
3.262000,-0.0855,0.6202,0.4095,0.748
3.263000,-0.0542,0.6304,0.4165,0.758
3.265000,-0.0435,0.6148,0.4485,0.762
3.272000,-0.0491,0.5762,0.5406,0.792
3.272000,-0.0554,0.5232,0.6397,0.828
3.272000,-0.0571,0.4612,0.7313,0.866
3.274000,-0.0608,0.4058,0.8153,0.913
3.278000,-0.0652,0.3594,0.8976,0.969
3.279000,-0.0613,0.3260,0.9732,1.028
3.281000,-0.0606,0.3074,1.0423,1.088
3.284000,-0.0640,0.3013,1.0948,1.137
3.287000,-0.0711,0.3086,1.1439,1.187
3.289000,-0.0803,0.3264,1.1832,1.230
3.292000,-0.0952,0.3426,1.2177,1.269
3.294000,-0.1130,0.3667,1.2482,1.306
3.296000,-0.1463,0.3899,1.2709,1.337
3.299000,-0.1851,0.4090,1.2850,1.361
3.302000,-0.2261,0.4185,1.2819,1.367
3.304000,-0.2561,0.4239,1.2538,1.348
3.306000,-0.2505,0.4231,1.1981,1.295
3.309000,-0.2337,0.4219,1.1344,1.233
3.311000,-0.2149,0.4341,1.0780,1.182
3.313000,-0.1975,0.4517,1.0267,1.139
3.317000,-0.1853,0.4717,0.9776,1.101
3.319000,-0.1692,0.4896,0.9334,1.068
3.322000,-0.1570,0.5040,0.8910,1.036
3.323000,-0.1448,0.5154,0.8602,1.013
3.326000,-0.1384,0.5257,0.8272,0.990
3.328000,-0.1377,0.5294,0.7970,0.967
3.331000,-0.1438,0.5308,0.7757,0.951
3.334000,-0.1450,0.5281,0.7618,0.938
