time,ax,ay,az,atotal
2.7858448028564453,-0.51,-0.31,-0.06,0.59
2.7946090698242188,-0.53,-0.3,-0.06,0.61
2.8047900199890137,-0.45,-0.3,-0.02,0.54
2.8156299591064453,-0.39,-0.28,0.11,0.49
2.8248980045318604,-0.31,-0.18,0.19,0.4
2.8357338905334473,-0.23,-0.12,0.29,0.38
2.845362901687622,-0.18,-0.14,0.37,0.43
2.863389015197754,-0.16,-0.17,0.39,0.45
2.8652191162109375,-0.19,-0.26,0.38,0.49
2.8759140968322754,-0.21,-0.31,0.35,0.51
2.886122941970825,-0.25,-0.32,0.34,0.52
2.8954830169677734,-0.33,-0.29,0.32,0.54
2.9058518409729004,-0.34,-0.3,0.34,0.56
2.9165380001068115,-0.28,-0.31,0.35,0.54
2.925981044769287,-0.2,-0.22,0.27,0.4
2.936171054840088,-0.12,-0.16,0.27,0.33
2.9463019371032715,-0.03,-0.07,0.31,0.31
2.966233015060425,0.03,0.06,0.26,0.26
2.9683339595794678,0.13,0.1,0.15,0.22
2.9760608673095703,0.48,0.37,-0.29,0.67
2.9863479137420654,0.34,0.54,-0.36,0.73
2.996400833129883,0.53,0.66,0.0,0.84
3.006432056427002,0.79,0.85,0.15,1.17
3.0171079635620117,0.9,1.03,0.15,1.37
3.026503086090088,0.7,1.03,0.08,1.24
3.0369229316711426,0.41,0.92,-0.01,1.0
3.0472300052642822,0.08,0.79,-0.01,0.79
3.065549850463867,-0.07,0.67,0.1,0.68
3.067272901535034,-0.09,0.53,0.26,0.59
3.0768799781799316,-0.1,0.4,0.37,0.55
3.087225914001465,-0.18,0.26,0.4,0.5
3.097101926803589,-0.31,0.08,0.14,0.34
3.107357978820801,-0.42,0.05,0.28,0.5
3.1177968978881836,-0.36,0.06,0.22,0.42
3.1277971267700195,-0.24,0.08,0.15,0.29
3.1377859115600586,-0.08,0.19,0.21,0.29
3.148836135864258,0.11,0.28,0.35,0.46
3.1672070026397705,0.24,0.36,0.41,0.59
3.168834924697876,0.37,0.45,0.47,0.74
3.1777710914611816,0.46,0.44,0.44,0.77
3.1881508827209473,0.48,0.33,0.31,0.65
